State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PR,00935,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00936,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00937,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00940,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00949,"TOA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00950,"TOA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00951,"TOA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00952,"TOA BAJA CO",0.105000,0.115000,0.010000,0,0,1
PR,00953,"TOA ALTA CO",0.105000,0.115000,0.010000,0,0,1
PR,00954,"CAYEY CO",0.105000,0.115000,0.010000,0,0,1
PR,00956,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00957,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00958,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00959,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00960,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00961,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00962,"CATANO CO",0.105000,0.115000,0.010000,0,0,1
PR,00963,"CATANO CO",0.105000,0.115000,0.010000,0,0,1
PR,00965,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00966,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00968,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00969,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00970,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00971,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00975,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00976,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00977,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00979,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00981,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00982,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00983,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00984,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00985,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00986,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00987,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00988,"PUERTO RICO",0.115000,0.115000,0,0,0,1
